X,Y,Z,t
0.72,-1.412,9.471,0
0.737,-1.429,9.513,4
0.783,-1.445,9.576,5
0.766,-1.468,9.661,5
0.768,-1.438,9.587,5
0.76,-1.392,9.554,5
0.773,-1.378,9.493,5
0.805,-1.428,9.526,5
0.799,-1.431,9.61,5
0.762,-1.406,9.583,5
0.726,-1.36,9.563,5
0.733,-1.386,9.526,5
0.736,-1.431,9.507,5
0.74,-1.444,9.525,5
0.765,-1.425,9.654,5
0.737,-1.38,9.593,5
0.715,-1.369,9.532,5
0.783,-1.392,9.492,5
0.807,-1.427,9.537,4
0.824,-1.43,9.62,5
0.776,-1.377,9.619,5
0.788,-1.373,9.532,5
0.813,-1.383,9.59,5
0.836,-1.424,9.438,5
0.81,-1.398,9.56,5
0.801,-1.423,9.695,5
0.747,-1.396,9.651,5
0.724,-1.413,9.493,5
0.747,-1.442,9.417,5
0.783,-1.455,9.53,5
0.8,-1.448,9.736,5
0.781,-1.416,9.695,5
0.761,-1.371,9.493,5
0.786,-1.408,9.439,5
0.796,-1.42,9.516,5
0.833,-1.422,9.606,5
0.816,-1.399,9.504,4
0.782,-1.359,9.545,5
0.769,-1.394,9.495,5
0.77,-1.435,9.544,5
0.734,-1.451,9.593,5
0.728,-1.419,9.662,5
0.735,-1.407,9.596,5
0.727,-1.399,9.501,5
0.758,-1.421,9.474,5
0.778,-1.439,9.6,5
0.783,-1.421,9.665,5
0.744,-1.36,9.591,5
0.766,-1.355,9.495,5
0.795,-1.408,9.44,5
0.812,-1.386,9.562,5
0.841,-1.388,9.677,5
0.781,-1.372,9.672,5
0.74,-1.368,9.522,5
0.762,-1.405,9.43,4
0.76,-1.443,9.445,5
0.749,-1.444,9.607,5
0.783,-1.42,9.666,5
0.742,-1.41,9.531,5
0.749,-1.427,9.462,5
0.78,-1.436,9.447,5
0.791,-1.428,9.612,5
0.788,-1.412,9.622,5
0.78,-1.422,9.547,5
0.784,-1.437,9.463,5
0.813,-1.458,9.498,5
0.81,-1.45,9.613,5
0.782,-1.435,9.627,5
0.735,-1.414,9.599,5
0.747,-1.414,9.58,5
0.762,-1.45,9.609,5
0.772,-1.427,9.649,5
0.764,-1.411,9.652,4
0.756,-1.362,9.602,5
0.744,-1.317,9.529,5
0.792,-1.377,9.485,5
0.795,-1.388,9.573,5
0.798,-1.399,9.597,5
0.78,-1.392,9.569,5
0.761,-1.381,9.538,5
0.762,-1.406,9.479,5
0.754,-1.413,9.524,5
0.73,-1.422,9.606,5
0.678,-1.43,9.596,5
0.702,-1.421,9.601,5
0.713,-1.462,9.536,5
0.767,-1.453,9.54,5
0.804,-1.454,9.644,5
0.773,-1.425,9.611,5
0.756,-1.417,9.523,5
0.802,-1.405,9.503,4
0.807,-1.426,9.538,5
0.783,-1.442,9.591,5
0.754,-1.433,9.617,5
0.738,-1.413,9.607,5
0.773,-1.425,9.552,5
0.774,-1.468,9.507,5
0.798,-1.478,9.562,5
0.771,-1.472,9.623,5
0.754,-1.444,9.595,5
0.763,-1.429,9.491,5
0.769,-1.448,9.513,5
0.787,-1.429,9.528,5
0.808,-1.417,9.571,5
0.814,-1.372,9.553,5
0.797,-1.359,9.538,5
0.806,-1.374,9.518,5
0.814,-1.345,9.567,4
0.759,-1.381,9.59,5
0.734,-1.37,9.574,5
0.722,-1.368,9.564,5
0.737,-1.377,9.598,5
0.726,-1.4,9.636,5
0.721,-1.445,9.627,5
0.729,-1.389,9.607,5
0.728,-1.376,9.56,5
0.767,-1.43,9.521,5
0.77,-1.416,9.53,5
0.776,-1.407,9.556,5
0.778,-1.421,9.54,5
0.764,-1.397,9.535,5
0.747,-1.43,9.523,5
0.76,-1.407,9.573,5
0.742,-1.426,9.571,5
0.711,-1.441,9.584,5
0.717,-1.447,9.546,4
0.738,-1.45,9.521,5
0.781,-1.471,9.542,5
0.812,-1.449,9.619,5
0.8,-1.439,9.661,5
0.732,-1.382,9.58,5
0.763,-1.4,9.532,5
0.787,-1.438,9.554,5
0.811,-1.456,9.551,5
0.805,-1.414,9.618,5
0.774,-1.394,9.555,5
0.784,-1.389,9.513,5
0.806,-1.458,9.531,5
0.787,-1.464,9.581,5
0.753,-1.463,9.624,5
0.725,-1.392,9.569,5
0.726,-1.369,9.577,5
0.777,-1.383,9.538,5
0.794,-1.402,9.606,4
0.819,-1.379,9.641,5
0.775,-1.366,9.578,5
0.765,-1.355,9.517,5
0.78,-1.371,9.507,5
0.798,-1.375,9.59,5
0.784,-1.409,9.618,5
0.727,-1.354,9.641,5
0.722,-1.364,9.565,5
0.728,-1.388,9.522,5
0.735,-1.415,9.567,5
0.755,-1.452,9.6,5
0.748,-1.443,9.648,5
0.732,-1.433,9.579,5
0.746,-1.433,9.48,5
0.801,-1.47,9.445,5
0.824,-1.441,9.518,5
0.792,-1.428,9.539,5
0.798,-1.397,9.543,4
0.79,-1.417,9.506,5
0.773,-1.431,9.532,5
0.763,-1.421,9.568,5
0.763,-1.422,9.631,5
0.748,-1.411,9.617,5
0.75,-1.401,9.543,5
0.791,-1.432,9.548,5
0.807,-1.461,9.615,5
0.818,-1.417,9.635,5
0.759,-1.375,9.587,5
0.745,-1.364,9.523,5
0.811,-1.396,9.496,5
0.819,-1.409,9.526,5
0.797,-1.432,9.543,5
0.763,-1.385,9.571,5
0.752,-1.367,9.538,5
0.775,-1.385,9.498,5
0.777,-1.441,9.55,4
0.779,-1.444,9.596,5
0.76,-1.413,9.671,5
0.715,-1.386,9.595,5
0.715,-1.392,9.59,5
0.772,-1.383,9.591,5
0.779,-1.409,9.609,5
0.758,-1.406,9.546,5
0.747,-1.392,9.525,5
0.764,-1.418,9.487,5
0.778,-1.44,9.523,5
0.754,-1.439,9.546,5
0.733,-1.418,9.577,5
0.706,-1.401,9.542,5
0.715,-1.386,9.57,5
0.725,-1.433,9.561,5
0.76,-1.466,9.619,5
0.763,-1.455,9.656,4
0.764,-1.451,9.616,5
0.741,-1.412,9.544,5
0.792,-1.424,9.492,5
0.821,-1.421,9.53,5
0.853,-1.429,9.588,5
0.827,-1.42,9.581,5
0.78,-1.436,9.583,5
0.809,-1.389,9.528,5
0.832,-1.394,9.542,5
0.817,-1.411,9.589,5
0.773,-1.425,9.588,5
0.764,-1.431,9.576,5
0.777,-1.434,9.508,5
0.826,-1.446,9.537,5
0.834,-1.43,9.614,5
0.805,-1.393,9.589,5
0.79,-1.342,9.561,5
0.799,-1.363,9.585,4
0.834,-1.405,9.526,5
0.835,-1.408,9.573,5
0.817,-1.392,9.57,5
0.752,-1.39,9.515,5
0.744,-1.391,9.514,5
0.776,-1.435,9.545,5
0.764,-1.44,9.578,5
0.76,-1.43,9.632,5
0.685,-1.392,9.546,5
0.698,-1.362,9.562,5
0.707,-1.404,9.549,5
0.761,-1.427,9.547,5
0.771,-1.454,9.572,5
0.795,-1.44,9.556,5
0.785,-1.427,9.516,5
0.785,-1.452,9.475,5
0.792,-1.47,9.505,5
0.762,-1.451,9.556,4
0.736,-1.387,9.59,5
0.718,-1.372,9.56,5
0.715,-1.412,9.54,5
0.758,-1.432,9.562,5
0.8,-1.462,9.583,5
0.785,-1.447,9.661,5
0.763,-1.402,9.596,5
0.772,-1.406,9.527,5
0.806,-1.412,9.537,5
